,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Tiscali,0.4,0.8823529411764706,0.7894736842105263,0.25,0.0,0.5833333333333334,0.0,0.6,0.5625,0.25
1,Medie Settore (Telefonia),0.74,0.9058823529411765,0.8631578947368421,0.5900000000000001,0.5499999999999999,0.7666666666666667,0.125,0.64,0.8,0.65
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
