,groups,"Dichiarazioni 
Pubbliche","Modello 
Anticorruzione",Codice,Whistleblowing,Lobbying,"Conflitto 
d'Interesse","Finanziamenti 
Politici","Traspareza 
Organizzativa",Formazione,Sostenibilità
0,Poste Italiane,0.6,0.9411764705882353,0.6842105263157895,0.75,0.4166666666666667,0.6666666666666666,0.0,0.2,0.5625,0.0
1,Medie Settore (Partecipate dallo Stato),0.82,0.9294117647058824,0.7894736842105263,0.6900000000000001,0.4166666666666667,0.8,0.0,0.42000000000000004,0.5875,0.2
2,Medie Globali,0.6518585974256924,0.7470035113613859,0.7293854958143259,0.5308708927260731,0.38040114658225327,0.6165113989639481,0.21996733213257758,0.4077622186071938,0.4747874981206908,0.3747466622575263
